model_name,url,metadata_field,findability,annot_missing,value_annot,value_pred,rouge,levenshtein,domain,provider,name
Qwen 2.5 Coder 32B,https://zenodo.org/records/8319440,Access rights,0,True,N/A,N/A,1.0,1.0,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Data contact point,1,False,"Xuemeng Tian, xuemeng.tian@opengeohub.org",N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Data contact point,1,False,"Carmelo Bonannella, carmelo.bonannella@opengeohub.org",N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Data contact point,1,False,"Het PON & Telos, info@hetpon-telos.nl",N/A,0.0,0.027027027027026973,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/11440456,Data contact point,1,False,"Kissling, W. Daniel",N/A,0.0,0.0,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Data contact point,1,False,"Leandro Parente, leandro.parente@opengeohub.org",N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Data contact point,1,False,"Leandro Parente, leandro.parente@opengeohub.org",N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly green band (EcoDataCube)
Qwen 2.5 Coder 32B,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Data contact point,0,True,N/A,N/A,1.0,1.0,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Data contact point,1,False,"Rijkswaterstaat, servicedesk-data@rws.nl",N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Data contact point,1,False,"Data Librarian (Wageningen University & Research), Jacobs, S. (Wageningen University & Research), Roest, E. (Wageningen University & Research)",N/A,0.0,0.0,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Data contact point,1,False,Wageningen Marine Research,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/8319440,Data contact point,0,True,N/A,N/A,1.0,1.0,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Data creator,2,False,Xuemeng Tian,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Data creator,2,False,Carmelo Bonannella,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Data creator,2,False,Het Pon & Telos,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/11440456,Data creator,1,False,"Evans, Julian C. and Zilber, Rotem and Kissling, W. Daniel",N/A,0.0,0.0,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Data creator,2,False,Leandro Parente,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Data creator,2,False,Leandro Parente,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly green band (EcoDataCube)
Qwen 2.5 Coder 32B,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Data creator,2,False,NASA LP DAAC,N/A,0.0,0.16666666666666663,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Data creator,2,False,Rijkswaterstaat,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Data creator,1,False,"R.J. Bijlsma (Wageningen Environmental Research, Wageningen University & Research) and A.P.P.M. Clerkx (Wageningen Environmental Research, Wageningen University & Research)",N/A,0.08695652173913042,0.005813953488372103,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Data creator,1,False,Wageningen Marine Research,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/8319440,Data creator,1,False,"Parinaz Rashidi, Sopan D. Patil, Aafke M. Schipper, Rob Alkemade, Isabel Rosa",N/A,0.0,0.012987012987012991,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Data publisher,2,False,opengeohub,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Data publisher,2,False,opengeohub,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Data publisher,1,False,Datahuis Wadden,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/11440456,Data publisher,1,False,Zenodo,N/A,0.0,0.0,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Data publisher,2,False,opengeohub,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Data publisher,2,False,opengeohub,N/A,0.0,0.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly green band (EcoDataCube)
Qwen 2.5 Coder 32B,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Data publisher,1,False,NASA LP DAAC and Google Earth Engine,N/A,0.0,0.05555555555555558,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Data publisher,2,False,Datahuis Wadden,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Data publisher,1,False,Wageningen University & Research,N/A,0.0,0.0,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Data publisher,1,False,Datahuis Wadden,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/8319440,Data publisher,1,False,Zenodo,N/A,0.0,0.0,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Date last modified,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Date last modified,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Date last modified,1,False,a month ago,N/A,0.4,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/11440456,Date last modified,2,False,"June 11, 2024",N/A,0.0,0.0,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Date last modified,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Date last modified,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly green band (EcoDataCube)
Qwen 2.5 Coder 32B,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Date last modified,0,True,N/A,N/A,1.0,1.0,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Date last modified,1,False,2 months ago,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Date last modified,2,False,2019-03-19,N/A,0.0,0.0,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Date last modified,2,False,2016-11-01,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/8319440,Date last modified,1,False,"September 6, 2023",N/A,0.0,0.0,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Date published,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Date published,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Date published,1,False,2025-04-11,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/11440456,Date published,1,False,"June 3, 2024",N/A,0.0,0.0,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Date published,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Date published,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly green band (EcoDataCube)
Qwen 2.5 Coder 32B,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Date published,0,True,N/A,N/A,1.0,1.0,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Date published,1,False,2017-01-31,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Date published,1,False,2019-04-11,N/A,0.0,0.0,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Date published,1,False,2016-11-01,N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/8319440,Date published,1,False,"September 5, 2023",N/A,0.0,0.0,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Description,1,False,"[NDVI](Tucker, 1979) quantifies vegetation greenness, computed from 30-m bi-monthly aggregated and gapfilled GLAD Landsat ARD from 2000 to 2022.",N/A,0.0,0.01388888888888884,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Description,1,False,Actual Natural Vegetation (ANV): probability of occurrence for the Pedunculate oak in its realized environment for the period 2000 - 2033,N/A,0.0,0.014598540145985384,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Description,1,False,"The three Wadden provinces – North Holland, Friesland and Groningen – jointly present the Wadden Balance 2024. This periodic socio-economic monitor provides an up-to-date picture of the broad prosperity and economic activities in the Wadden area. The results show that the broad prosperity in the region differs between the Wadden Islands, port municipalities and coastal municipalities. The Wadden Balance focuses on 14 municipalities in the Wadden area with a total of more than 460,000 inhabitants. The monitor was drawn up by Het PON & Telos, commissioned by the Wadden provinces and in consultation with the Wadden municipalities and the Ministry of LVVN. The monitor uses reliable, regularly available data. Themes such as health, income, well-being, mobility and social cohesion are made clear and compared with national trends for the Wadden area.",N/A,0.014814814814814812,0.0011695906432748204,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/11440456,Description,1,False,"Three camera trap data packages (https://camtrap-dp.tdwg.org/) of data collected as part of pilot studies carried out in the  Amsterdamse Waterleidingduinen. The pilots were aimed at determining how different types of camera deployment (e.g. regular vs. wide lens, various heights, inside/outside exclosures) might influence species detections, and how to deploy autonomous wildlife monitoring networks. Two pilots were conducted in herbivore exclosures and mainly detected European rabbits (Oryctolagus cuniculus) and red fox (Vulpes vulpes). The third pilot was conducted outside exclosures, with the European fallow deer (Dama dama) being most prevalent. Across all three pilots, a total of 47,597 images were annotated using the Agouti platform. All annotations were verified and quality-checked by a human expert. A total of 2,779 observations of 20 different species (including humans) were observed using 11 wildlife cameras during 2021–2023. The raw image files (excluding humans), image metadata, deployment metadata and observations from each pilot are shared using the Camtrap DP open standard and the extended data publishing capabilities of GBIF to increase the findability, accessibility, interoperability, and reusability of this data. The data are freely available and can be used for developing artificial intelligence (AI) algorithms that automatically detect and identify species from wildlife camera images.",N/A,0.009433962264150945,0.0014015416958654825,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Description,1,False,Blue band aggregated yearly from 30-m bi-monthly gapfilled GLAD Landsat ARD blue band from 2000 to 2022.,N/A,0.0,0.009615384615384581,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Description,1,False,Green band aggregated yearly from 30-m bi-monthly gapfilled GLAD Landsat ARD green band from 2000 to 2022.,N/A,0.0,0.009433962264150941,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly green band (EcoDataCube)
Qwen 2.5 Coder 32B,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Description,1,False,"The Harmonized Landsat Sentinel-2 (HLS) project provides consistent surface reflectance data from the Operational Land Imager (OLI) aboard the joint NASA/USGS Landsat 8 satellite and the Multi-Spectral Instrument (MSI) aboard Europes Copernicus Sentinel-2A satellites. The combined measurement enables global observations of the land every 2-3 days at 30-meter (m) spatial resolution. The HLS project uses a set of algorithms to obtain seamless products from OLI and MSI that include atmospheric correction, cloud and cloud-shadow masking, spatial co-registration and common gridding, illumination and view angle normalization, and spectral bandpass adjustment. The HLS project distributes data as two separate products: HLSL30 (Landsat 8/9) and HLSS30 (Sentinel-2 A/B). They both provide 30m Nadir Bidirectional Reflectance Distribution Function (BRDF), Adjusted Reflectance (NBAR).",N/A,0.015267175572519083,0.003397508493771184,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Description,1,False,"An ecotope is an ecomorphological, landscape mappable unit. The ecotope system is classified based on the criteria height, current velocity, wave height, drying period, geomorphology, salinity and sediment composition. With the ecotope classification, gradual transitions in these variables are converted into discrete, mappable units. Changes in ecologically relevant changes in current velocity etc. are thus clearly quantifiable and can be used for explorations, planning studies and evaluations of construction and management.",N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Description,1,False,"The Dutch forest reserves network encompasses about 60 forest reserves representing all major forest types in the Netherlands. The reserves were designated between 1983 and 2000. The present Access-database presents all measurements (mostly between 1982 and 2005) on trees and regeneration in circular sample plots throughout the reserves and in a one ha rectangular core area in each reserve. The data set also includes map data at the reserve level (such as reserve boundaries, samples plots and core areas) and of GIS files derived from tree measurements in the core area.",N/A,0.021276595744680847,0.003478260869565264,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Description,1,False,"For the proper management of areas such as the Wadden Sea, a consistent and unambiguous insight into the changes in the various landscape units is of great importance. One of the ways to make changes in ecosystems and landscapes visible is with ecotope maps. Ecotopes are “spatially delimited ecological units, the composition and development of which are determined by abiotic, biotic and anthropogenic conditions on site. An ecotope is a recognizable, more or less homogeneous landscape unit.” (Bouma et al., 2005). Ecotope maps are derived from a number of underlying maps of mainly physical factors, which together determine the characteristics of an ecotope. In the Netherlands, the RijksWateren-EcotopenStelsel (RWES) developed by Rijkswaterstaat is used, which has been elaborated for salt waters in the Zoute wateren EcotopenStelsel.",N/A,0.015503875968992248,0.0011890606420927874,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/8319440,Description,1,False,"This dataset comprises high-resolution land use data downscaled from LUH2 scenarios for Belgium at both 10 m and 100 m resolutions. These datasets were generated based on research conducted by Rashidi et al. in 2023 and published in the Land Journal. We employed the GLOBIO land allocation routine to downscale fractional land use data, originally at a 0.25 deg resolution (approximately 25 km), into discrete land use maps at 10 m and 100 m resolutions. This process utilized three distinct reference land cover maps: ESA WorldCover at 10 m resolution, ESA WorldCover upscaled to 100 m resolution, and CORINE land cover at 100 m resolution. During the downsizing process, we considered three SSP-RCP scenarios to model land use trends for both the present and the year 2050 on a national scale in Belgium. Key components of the model included regional land use demand, an assessment of grid cells suitability for various land use types, and a reference land cover map. It is important to note that the classification system used in the reference maps differs from that of LUH2. To ensure comparability for land use simulations, we conducted a reclassification process following the methodologies outlined by Pérez-Hoyos et al. (2012), Dong et al. (2018), and Liao et al. (2020). This reclassification consolidated land use classes, except for water, into seven general categories: 1) urban, 2) cropland, 3) pasture, 4) forestry, 5) secondary vegetation, 6) undefined, and 7) natural. The raw data consists of three folders corresponding to the three reference maps, each containing four TIFF files (.tif), one for each scenario type.",N/A,0.007434944237918215,0.000611995104039198,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Distribution access URL,2,False,https://doi.org/10.5281/zenodo.10884235,N/A,0.0,0.02564102564102566,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Distribution access URL,2,False,https://doi.org/10.5281/zenodo.5887415,N/A,0.0,0.02631578947368418,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Distribution access URL,2,False,https://www.investeringskaderwaddengebied.nl/wp-content/uploads/2025/04/Waddenbalans-2024.def_.pdf,N/A,0.0,0.010204081632653073,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
